"";"gender";"religious_attendance";"age";"faith";"education";"family_status";"economical_status";"code";"HSPS_1";"HSPS_2";"HSPS_3";"HSPS_4";"HSPS_5";"HSPS_6";"HSPS_7";"HSPS_8";"HSPS_9";"HSPS_10";"HSPS_11";"HSPS_12";"HSPS_13";"HSPS_14";"HSPS_15";"HSPS_16";"HSPS_17";"HSPS_18";"HSPS_19";"HSPS_20";"HSPS_21";"HSPS_22";"HSPS_23";"HSPS_24";"HSPS_25";"HSPS_26";"HSPS_27";"DSES_1";"DSES_2";"DSES_3";"DSES_4";"DSES_5";"DSES_6";"DSES_7";"DSES_8";"DSES_9";"DSES_10";"DSES_11";"DSES_12";"DSES_13";"DSES_14";"DSES_15";"BFI_N_1";"BFI_N_2";"BFI_N_3";"BFI_N_4";"BFI_N_5";"BFI_N_6";"BFI_N_7";"BFI_N_8";"TEQ_1";"TEQ_3";"TEQ_5";"TEQ_16";"TEQ_CON_2";"TEQ_CON_4";"TEQ_CON_14";"senisitivity_1";"senisitivity_2";"senisitivity_3";"senisitivity_4";"senisitivity_5";"senisitivity_6";"senisitivity_7";"senisitivity_8";"senisitivity_9";"senisitivity_10";"emotions_1";"emotions_2";"emotions_3";"emotions_4";"emotions_5";"emotions_6";"emotions_7";"emotions_8";"emotions_9";"emotions_10";"cov_topics1_1";"cov_topics1_2";"cov_topics1_3";"cov_topics1_4";"cov_topics1_5";"cov_topics1_6";"cov_topics1_7";"cov_topics1_8";"cov_topics1_9";"cov_topics2_1";"cov_topics2_2";"cov_topics2_3";"cov_topics2_4";"cov_topics2_5";"cov_topics2_6";"cov_topics2_7";"cov_topics2_8";"cov_topics2_9";"cov_topics2_10";"cov_topics2_11";"cov_topics2_12";"cov_topics2_13";"cov_topics2_14"
"144";"Male";"Occasionaly";46;NA;"Vocational school or non - maturity high school";"Unmarried";"Without work";"b3ed9aa64d32a06f1400bb2afb72eac2";1;2;4;7;1;2;4;5;1;1;3;6;6;5;3;1;2;4;3;6;6;4;4;4;2;6;6;2;3;1;2;3;1;2;1;2;1;2;3;2;1;1;1;3;4;3;4;3;4;3;NA;NA;NA;NA;NA;NA;NA;4;2;7;3;6;2;7;1;4;7;4;5;5;4;6;2;8;4;8;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"145";"Male";"Never";23;NA;"High school";"Unmarried";"Student without stable work";"b6c4eb396bd424fc7368f2bb7047e568";4;1;5;3;6;1;2;7;1;4;6;7;1;4;2;1;4;1;2;3;1;6;3;5;1;4;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;1;1;1;2;1;1;1;1;2;NA;NA;NA;NA;NA;NA;NA;3;0;0;0;7;2;0;3;5;5;5;8;6;3;5;1;9;4;10;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"146";"Female";"Never";67;NA;"High school";"Married";"Entrepreneur without employes";"b8ffad817c0b6ba77cfddf982866a140";1;4;1;1;1;1;1;6;1;7;1;7;1;3;6;7;6;3;1;1;1;7;1;7;1;4;1;1;1;1;1;2;1;1;1;1;1;1;2;2;1;1;1;5;1;1;1;1;2;1;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"147";"Female";"Never";24;NA;"Vocational school or non - maturity high school";"Married";"Entrepreneur with > 6 employes";"b963519fcdb4a622c235df63d9c8c804";4;2;6;6;5;1;5;6;2;2;6;6;6;7;6;1;6;3;2;7;2;5;1;5;2;4;3;1;2;1;2;2;2;1;1;1;1;1;3;2;1;1;1;4;3;4;4;4;3;4;NA;NA;NA;NA;NA;NA;NA;5;5;6;4;5;5;6;2;7;8;8;7;8;4;7;7;8;5;8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"148";"Female";"Never";55;NA;"Vocational school or non - maturity high school";"Married";"Employed";"b9d45d4f12c5942a927abd4cd0ebdd81";5;5;6;3;6;2;4;3;7;7;6;6;2;2;7;5;7;7;6;1;6;7;5;7;7;2;5;4;6;6;5;5;6;6;6;2;6;5;4;2;6;2;2;3;2;2;3;4;2;2;NA;NA;NA;NA;NA;NA;NA;9;5;5;5;5;6;5;5;8;8;10;5;9;9;8;10;10;8;10;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"149";"Male";"Never";63;NA;"University master or higher";"Married";"Not working pensioner";"ba53e4c59fd48a9f1128c3c94b797db3";4;5;5;3;3;3;2;3;3;1;3;5;2;3;3;4;3;4;3;2;5;2;3;3;4;2;4;1;1;1;1;3;2;1;1;1;1;1;4;2;1;1;3;4;2;2;3;3;4;3;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;6;5;6;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"150";"Male";"Occasionaly";53;NA;"High school";"In relationship";"Employed";"bb8b9c4bdb5e7e7765d9e8a707c126fe";2;2;2;3;3;3;2;3;3;3;3;4;3;4;4;4;4;5;3;3;5;5;5;5;3;3;2;2;2;2;2;3;2;2;2;2;2;2;2;2;2;2;1;4;2;2;4;3;3;2;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"151";"Female";"Never";43;NA;"Vocational school or non - maturity high school";"Divorced";"Maternity leave";"bcc269d5c47fa5af410fc974ce7194cc";1;1;7;3;7;4;1;1;1;1;7;4;1;4;1;6;7;4;7;1;2;1;6;4;1;5;1;1;1;1;1;1;1;1;1;1;1;1;4;6;1;1;4;2;3;2;1;3;1;4;NA;NA;NA;NA;NA;NA;NA;0;0;1;1;2;3;0;6;8;4;5;5;7;4;10;10;7;3;0;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"152";"Female";"Never";56;NA;"Vocational school or non - maturity high school";"Divorced";"Not working pensioner";"bcd4482f2d1eb0b46ed0d863e1db8240";7;7;4;7;4;4;1;7;7;7;7;7;4;5;7;4;7;5;2;1;7;7;4;7;7;7;7;5;2;1;2;5;3;1;3;4;6;4;6;5;5;3;2;4;2;5;3;1;4;2;NA;NA;NA;NA;NA;NA;NA;5;7;10;10;10;10;7;5;9;10;10;8;9;10;7;5;5;8;10;10;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"153";"Female";"Never";71;NA;"University master or higher";"Widow";"Not working pensioner";"bf080f5c0ecbab07f1512e3f7cc85c6a";4;4;2;2;1;1;1;6;2;5;1;5;2;1;3;5;4;2;2;2;4;6;2;2;4;4;4;1;4;1;1;4;1;1;1;1;3;3;4;3;1;1;1;5;2;2;5;1;5;1;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;4;4;5;5;4;5;3;4;5;6;5;8;5;7;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"154";"Male";"Occasionaly";21;NA;"Vocational school or non - maturity high school";"Unmarried";"Employed";"bf6adbf8bcad275c3074728bd2b0a0a8";1;3;3;2;1;1;2;1;3;1;2;1;2;3;2;1;2;3;1;2;1;4;3;2;1;3;2;4;3;4;4;3;4;4;3;4;2;3;4;3;3;2;1;3;2;3;4;4;3;4;NA;NA;NA;NA;NA;NA;NA;0;0;2;0;0;0;1;0;0;1;0;1;2;0;1;3;2;3;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"155";"Female";"Never";69;NA;"Higher vocational school or University bachelor";"Married";"Not working pensioner";"c0ab7653b59ae5a0b85e7d70fed86ecb";3;6;6;4;7;6;4;6;6;7;5;5;4;6;7;7;4;7;7;1;7;7;6;7;6;7;1;2;1;1;2;1;1;1;1;1;1;1;3;1;1;1;4;2;4;4;1;4;2;4;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;0;5;5;9;8;7;8;8;1;1;1;9;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"156";"Male";"I try to attend once a week";66;NA;"Vocational school or non - maturity high school";"Married";"Not working pensioner";"c1702af09da22839d1cfba6214c8dd30";3;4;3;2;3;3;3;4;5;5;4;4;3;4;4;5;5;4;5;5;5;5;5;6;5;3;4;4;3;4;5;4;5;4;4;4;4;5;5;3;5;3;1;3;2;2;3;3;2;3;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;4;5;5;5;6;4;6;5;5;4;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"157";"Female";"Never";37;NA;"Vocational school or non - maturity high school";"Married";"In household";"c212d8f4b25f8846b8029c2fad149d5e";4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"158";"Male";"Never";64;NA;"University master or higher";"Married";"Not working pensioner";"c308fc4e24c928154d9becdeab0fc331";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2;3;1;1;2;1;1;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;0;0;0;0;0;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"159";"Male";"Occasionaly";59;NA;"High school";"Married";"Employed";"c32c2e9e4680c06ce4a1f0f1997f1912";3;3;2;4;3;2;2;3;4;4;2;3;4;4;3;3;3;3;3;2;2;6;3;2;3;5;3;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;2;5;2;2;2;NA;NA;NA;NA;NA;NA;NA;0;2;2;0;0;3;2;0;3;3;4;2;4;0;0;4;8;5;5;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"160";"Female";"Never";38;NA;"University master or higher";"Married";"Employed";"c334d308ef43f741640872c3517a7447";5;5;3;3;4;1;2;6;2;2;3;3;4;4;4;6;2;5;3;5;6;2;5;5;1;3;1;2;2;1;2;2;2;1;2;2;2;2;2;2;1;1;5;2;4;5;4;2;3;2;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;7;4;5;3;5;5;4;5;5;7;6;8;8;6;8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"161";"Female";"Never";56;NA;"Basic school or unfinished or without basic school";"Divorced";"Employed";"c350f1ff26bd3a77e0300d8fc79dc8aa";4;4;4;5;1;1;2;1;1;4;1;7;4;2;4;2;2;4;1;2;5;5;2;2;1;5;3;2;2;1;2;2;2;2;2;2;2;2;2;2;2;2;1;3;2;2;3;3;4;3;NA;NA;NA;NA;NA;NA;NA;0;0;1;0;0;5;2;0;5;5;4;3;3;4;4;0;5;4;8;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"162";"Male";"Never";40;NA;"Vocational school or non - maturity high school";"Unmarried";"In household";"c4e568dbcf147ebde93aef39d88226bc";4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"163";"Male";"Never";19;NA;"Basic school or unfinished or without basic school";"Unmarried";"Student without stable work";"c680fcf961876a5abcc3aed52db5fbdb";6;6;2;6;2;1;1;4;1;5;4;6;2;1;2;3;3;1;2;2;2;3;3;1;1;6;2;1;3;1;1;1;1;1;1;1;1;2;3;3;4;1;1;4;4;3;4;1;3;2;NA;NA;NA;NA;NA;NA;NA;0;0;2;2;2;2;3;0;2;2;5;5;5;5;2;8;2;0;3;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"164";"Male";"Never";61;NA;"Vocational school or non - maturity high school";"Divorced";"Employed";"c76611146dda8b7b25ec2e5ee979cfec";4;5;5;3;4;2;1;4;2;5;5;3;3;4;4;5;5;3;5;2;4;5;4;5;3;5;5;2;1;1;1;1;2;2;1;1;1;2;1;2;2;1;2;3;4;2;3;4;3;4;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;4;4;5;5;5;6;4;5;5;5;6;6;5;6;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"165";"Male";"Never";55;NA;"High school";"Married";"Employed";"c9b24a3162da37a3da7d713cf51425c2";3;2;2;2;5;1;2;3;4;3;5;6;2;7;4;6;5;3;5;4;4;2;6;5;4;4;1;1;5;1;1;3;1;1;1;1;1;1;2;5;3;1;2;4;4;2;4;2;4;4;NA;NA;NA;NA;NA;NA;NA;1;4;1;2;3;4;3;1;6;3;2;4;3;5;8;6;3;2;5;4;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"166";"Male";"Occasionaly";29;NA;"High school";"Unmarried";"Entrepreneur without employes";"ca4d1b434d202eff6e93b53081400c6e";6;4;4;2;5;1;3;7;4;6;5;7;5;4;5;4;4;1;4;4;5;5;5;4;4;4;4;3;3;3;4;4;3;1;1;1;3;3;3;3;3;3;2;4;3;2;4;3;4;2;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;2;5;5;8;5;5;10;6;5;6;6;5;9;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"167";"Male";"Occasionaly";55;NA;"Vocational school or non - maturity high school";"Divorced";"Employed";"cbcd85a11d6b7ca8088a5d4f8db7f091";4;3;4;4;4;1;3;4;4;2;4;5;4;5;5;3;3;3;3;3;3;3;4;4;3;3;3;2;5;2;2;2;5;4;2;2;2;2;5;2;2;2;4;3;3;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"168";"Female";"Never";37;NA;"Vocational school or non - maturity high school";"Unmarried";"Employed";"cf1ae5b73b6caa2bcebcbc9686ec3402";1;1;4;1;4;4;1;1;4;1;1;4;4;1;1;4;4;7;4;1;4;7;7;4;7;7;7;1;1;1;1;1;2;1;1;1;1;2;1;2;1;1;1;2;4;4;3;4;3;4;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;10;5;5;10;10;10;5;10;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"169";"Female";"Occasionaly";57;NA;"Vocational school or non - maturity high school";"Married";"Without work";"cfd6e62c0922aa8ca570fc89cf8797d1";7;7;7;7;7;1;7;4;7;7;7;4;7;4;4;4;7;1;7;1;7;7;7;7;7;7;7;2;1;2;1;2;1;1;1;1;1;1;1;1;1;1;4;2;4;4;2;3;1;4;NA;NA;NA;NA;NA;NA;NA;10;10;10;0;10;10;0;0;10;0;10;10;10;10;10;0;0;0;10;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"170";"Female";"Never";35;NA;"High school";"Divorced";"Employed";"d02da866def55e50e60c5287a99fd79d";4;4;7;6;7;4;5;5;7;2;6;6;4;7;4;7;7;5;5;7;7;3;6;4;7;7;6;2;1;1;1;3;3;1;1;1;1;2;4;4;1;1;2;3;4;4;2;3;3;4;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;7;9;5;9;2;7;7;8;7;9;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"171";"Male";"Never";59;NA;"High school";"Married";"Entrepreneur with 1 - 5 employes";"d130f76dd88e1df9396aa4bc5b42f641";3;4;3;2;2;1;3;4;4;5;4;2;1;4;4;4;5;3;3;3;4;5;4;5;3;3;2;1;1;1;2;2;1;1;1;1;3;2;4;2;4;1;2;4;2;1;4;2;4;2;NA;NA;NA;NA;NA;NA;NA;3;3;5;4;4;3;4;9;7;2;3;4;3;2;2;2;2;3;2;2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"172";"Male";"Never";72;NA;"Vocational school or non - maturity high school";"Married";"Not working pensioner";"d3552b5552b1bb4571719a8bab4dbfe3";2;2;1;1;2;2;2;1;2;2;1;2;3;3;2;2;3;2;2;3;3;2;2;3;3;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;5;1;1;5;1;1;1;NA;NA;NA;NA;NA;NA;NA;3;3;4;4;4;5;4;4;5;5;3;4;3;3;4;3;4;4;3;3;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"173";"Female";"Never";69;NA;"University master or higher";"Married";"Not working pensioner";"d36e8a4598c43d1c92c7f296fcb40a80";4;4;4;3;3;5;3;3;5;5;5;6;4;4;5;5;6;6;4;4;4;5;4;5;5;5;5;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;4;2;2;4;3;4;2;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;7;6;5;4;4;5;5;5;6;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"174";"Male";"Never";43;NA;"Vocational school or non - maturity high school";"Married";"Employed";"d3798703477d5799a55aa5771a0b5124";4;4;6;3;6;5;4;4;5;5;6;6;4;4;4;4;4;5;5;4;4;4;6;5;5;5;5;1;2;1;1;1;1;1;1;3;1;4;4;3;1;1;1;3;4;4;4;4;3;4;NA;NA;NA;NA;NA;NA;NA;3;3;3;3;3;2;4;3;4;4;8;7;7;7;7;8;8;8;8;8;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"175";"Female";"Never";74;NA;"Vocational school or non - maturity high school";"Divorced";"Not working pensioner";"d3ac8a164664ccc07e60c2d6b192ee45";4;5;4;3;6;4;4;4;6;4;6;6;4;6;1;6;4;6;5;4;5;3;5;6;7;3;2;1;4;1;1;2;1;1;1;1;1;1;1;2;1;1;2;3;2;2;4;3;4;2;NA;NA;NA;NA;NA;NA;NA;5;8;5;5;5;5;4;5;6;8;5;5;5;7;5;8;5;8;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"176";"Male";"Never";20;NA;"High school";"Unmarried";"Student without stable work";"d6cd4421757cd1186a14f737983f8a6f";5;2;4;4;5;1;1;5;1;1;2;2;5;5;6;6;6;1;4;6;5;2;3;3;2;7;4;2;1;2;1;1;3;2;1;1;1;1;1;1;2;1;2;2;5;5;1;4;2;5;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;0;5;2;3;3;3;6;6;3;4;5;2;4;6;4;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"177";"Male";"Never";55;NA;"Vocational school or non - maturity high school";"Unmarried";"Not working pensioner";"d6cfe99358794ad4a4d41bff01fdd97f";4;4;4;4;4;1;4;4;4;4;4;7;4;4;4;4;4;1;4;1;4;4;4;4;4;4;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;4;2;2;3;3;4;2;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"178";"Male";"Never";17;NA;"Basic school or unfinished or without basic school";"Unmarried";"Student without stable work";"dbc07c7f3439976a0762f87cba0d3ee6";4;3;3;2;1;2;2;3;3;2;1;3;3;4;3;3;6;5;5;6;3;2;4;5;2;6;1;1;1;1;1;1;1;1;1;1;1;1;4;1;1;1;2;3;3;2;4;5;3;3;NA;NA;NA;NA;NA;NA;NA;5;5;9;5;5;5;6;3;5;5;7;4;5;7;6;5;3;7;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"179";"Female";"Occasionaly";67;NA;"Vocational school or non - maturity high school";"Widow";"Not working pensioner";"ddeebeab0708ce183ba7fd5d88377682";4;3;6;5;4;4;4;7;7;7;2;7;5;5;6;2;4;7;2;5;2;7;2;7;7;6;2;4;1;2;6;5;5;5;5;3;3;5;4;4;6;3;1;5;1;1;5;1;4;2;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;9;5;9;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"180";"Male";"Never";48;NA;"Vocational school or non - maturity high school";"Divorced";"Employed";"df6fde789ab7a67f6f1595f55b546033";4;4;7;7;6;6;4;4;7;4;6;4;4;5;4;5;5;1;7;4;4;6;7;5;6;6;4;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;3;2;4;4;2;4;2;4;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;8;5;5;5;5;5;5;5;5;5;7;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"181";"Female";"More than once a week";49;NA;"Vocational school or non - maturity high school";"Married";"Employed";"e05de2b4e3055e45e0db86490c986c9d";3;4;4;4;7;1;1;4;4;1;7;7;7;4;1;4;1;1;4;1;4;4;4;4;1;4;4;6;6;6;6;6;6;6;6;6;6;6;6;6;6;4;1;4;1;3;4;3;3;4;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;10;5;5;10;5;5;5;5;5;5;5;5;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"182";"Male";"Never";43;NA;"Basic school or unfinished or without basic school";"Divorced";"Employed";"e18b12394af795e9fafbe0b0008e62b9";1;4;2;1;1;1;1;5;1;4;3;4;5;1;3;2;3;5;3;1;2;5;2;3;2;5;4;1;1;1;1;1;1;1;1;1;1;1;1;3;1;1;1;4;2;2;3;2;4;1;NA;NA;NA;NA;NA;NA;NA;0;0;0;0;3;3;3;0;3;3;3;3;3;3;0;3;3;0;3;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"183";"Male";"Never";28;NA;"Vocational school or non - maturity high school";"Unmarried";"Employed";"e3bfdc177decb273ddcd2fe9cfe1e7c1";5;4;6;4;3;4;3;3;3;4;4;5;3;5;3;4;5;4;4;3;5;5;4;4;4;4;4;1;2;1;1;4;1;1;1;1;4;4;4;4;1;1;1;4;2;2;4;3;4;2;NA;NA;NA;NA;NA;NA;NA;5;5;6;5;5;6;5;5;5;5;6;6;6;5;5;6;5;6;6;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"184";"Female";"Never";75;NA;"University master or higher";"Married";"Not working pensioner";"e4458048b40e936b3d682b36b273e89d";2;3;3;2;2;3;2;5;3;4;1;5;3;2;4;2;1;7;2;4;2;5;2;4;2;2;2;2;2;1;2;3;2;1;1;1;2;2;2;2;1;1;1;4;2;1;4;3;4;2;NA;NA;NA;NA;NA;NA;NA;2;2;3;1;1;2;1;1;2;2;3;2;1;2;1;2;1;2;2;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"185";"Female";"Never";83;NA;"High school";"Widow";"Not working pensioner";"e4b1aa7feb634f98d46ea7a556156ec6";1;1;2;3;1;2;5;5;5;5;3;6;2;1;4;3;5;6;4;2;5;5;4;5;5;2;2;2;2;1;1;4;2;2;2;1;1;2;2;2;2;1;1;1;1;1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;5;5;5;5;5;5;5;5;5;5;5;6;6;6;6;5;7;5;5;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"186";"Female";"Never";65;NA;"High school";"Divorced";"Not working pensioner";"e51029b9d2a22b937ea5fd7ba9c59e21";5;4;5;5;4;3;6;4;7;4;5;3;5;5;3;5;5;7;5;4;6;5;5;6;6;5;5;1;4;1;1;2;1;1;1;1;2;2;2;2;1;1;3;2;2;2;2;4;1;3;NA;NA;NA;NA;NA;NA;NA;5;8;6;5;5;5;5;5;5;6;8;5;5;5;7;6;7;9;8;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"187";"Male";"Never";38;NA;"Higher vocational school or University bachelor";"Married";"Employed";"e57c2622ef9877c3188d32b7f54fec60";1;3;3;3;3;4;3;3;3;3;3;4;4;3;3;4;4;3;4;4;3;3;4;3;3;3;5;5;4;4;3;4;3;4;3;4;3;3;4;3;4;2;3;3;3;3;3;3;3;3;NA;NA;NA;NA;NA;NA;NA;0;1;1;1;1;1;1;0;0;0;0;0;0;0;1;1;1;0;1;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
